pkoakwood,color
709,Mexican
710,White
711,African American
712,African American
713,White
714,White
715,African American
716,African American
717,White
718,White
719,White
720,White
721,White
722,White
723,White
724,African American
725,African American
726,African American
727,White
728,African American
729,White
730,White
731,White
732,White
733,African American
734,African American
735,White
736,African American
737,African American
738,African American
739,African American
740,African American
741,African American
742,African American
743,White
744,White
745,White
746,African American
747,White
748,African American
749,White
750,African American
751,White
752,White
753,White
754,White
755,African American
756,African American
757,White
758,White
759,African American
760,African American
761,White
762,African American
763,White
764,White
765,Mexican
766,African American
767,African American
768,White
769,African American
770,White
771,White
772,African American
773,White
774,White
775,African American
776,African American
777,White
778,White
779,African American
780,African American
781,African American
782,White
783,White
784,White
785,White
786,Mexican
787,White
788,White
789,White
790,African American
791,White
792,White
793,White
794,Mexican
795,White
796,White
797,White
798,African American
799,African American
800,African American
801,White
802,White
803,African American
804,White
805,White
806,White
807,White
808,African American
809,African American
810,White
811,African American
812,White
813,African American
814,African American
815,Mexican
816,African American
817,African American
818,White
819,White
820,White
821,African American
822,African American
823,White
824,White
825,African American
826,White
827,African American
828,White
829,White
830,White
831,White
832,African American
833,African American
834,African American
835,African American
836,White
837,Mexican
838,White
839,White
840,African American
841,African American
842,White
843,African American
844,White
845,White
846,African American
847,White
848,White
849,White
850,African American
851,African American
852,Mexican
853,White
854,White
855,White
856,White
857,African American
858,African American
859,African American
860,African American
861,White
862,White
863,African American
864,Mexican
865,African American
866,African American
867,White
868,White
869,White
870,African American
871,White
872,African American
873,African American
874,White
875,White
876,African American
877,White
878,White
879,White
880,African American
881,White
882,African American
883,African American
884,White
885,White
886,White
887,White
888,White
889,White
890,African American
891,African American
892,White
893,African American
894,White
895,White
896,White
897,African American
898,White
899,Mexican
900,Mexican
901,African American
902,White
903,White
904,White
905,African American
906,African American
907,White
908,African American
909,African American
910,African American
911,White
912,White
913,African American
914,African American
915,Mexican
916,White
917,Mexican
918,White
919,White
920,White
921,African American
922,African American
923,African American
924,African American
925,White
926,White
927,White
928,White
929,White
930,White
931,African American
932,White
933,White
934,African American
935,African American
936,African American
937,White
938,White
939,African American
940,African American
941,African American
942,White
943,White
944,African American
945,White
946,White
947,White
948,White
949,African American
950,Mexican
951,White
952,African American
953,White
954,African American
955,White
956,White
957,White
958,White
959,African American
960,White
961,White
962,White
963,African American
964,African American
965,African American
966,White
967,White
968,White
969,White
970,White
971,African American
972,African American
973,White
974,African American
975,White
976,African American
977,White
978,White
979,White
980,White
981,White
982,African American
983,White
984,White
985,African American
986,African American
987,African American
988,African American
989,African American
990,African American
991,White
992,African American
993,African American
994,White
995,White
996,White
997,White
998,African American
999,African American
1000,African American
1001,White
1002,White
1003,White
1004,White
1005,White
1006,African American
1007,White
1008,African American
1009,African American
1010,African American
1011,White
1012,White
1013,White
1014,White
1015,White
1016,African American
1017,African American
1018,African American
1019,White
1020,White
1021,White
1022,White
1023,White
1024,White
1025,African American
1026,White
1027,African American
1028,White
1029,White
1030,White
1031,White
1032,White
1033,African American
1034,African American
1035,White
1036,African American
1037,White
1038,White
1039,African American
1040,African American
1041,Mexican
1042,White
1043,African American
1044,Mexican
1045,White
1046,White
1047,White
1048,White
1049,White
1050,African American
1051,White
1052,White
1053,White
1054,White
1055,White
1056,African American
1057,African American
1058,African American
1059,African American
1060,White
1061,White
1062,White
1063,White
1064,White
1065,White
1066,White
1067,White
1068,White
1069,African American
1070,African American
1071,White
1072,White
1073,African American
1074,Mexican
1075,African American
1076,African American
1077,African American
1078,White
1079,White
1080,Mexican
1081,Mexican
1082,Mexican
1083,Mexican
1084,African American
1085,African American
1086,White
1087,African American
1088,White
1089,White
1090,African American
1091,White
1092,African American
1093,Mexican
1094,African American
1095,African American
1096,White
1097,White
1098,African American
1099,White
1100,White
1101,African American
1102,White
1103,Mexican
1104,African American
1105,White
1106,White
1107,African American
1108,African American
1109,White
1110,White
1111,White
1112,White
1113,African American
1114,White
1115,White
1116,White
1117,White
1118,African American
1119,White
1120,White
1121,Mexican
1122,African American
1123,White
1124,African American
1125,White
1126,African American
1127,White
1128,White
1129,African American
1130,White
1131,White
1132,African American
1133,White
1134,White
1135,African American
1136,White
1137,African American
1138,African American
1139,Mexican
1140,African American
1141,African American
1142,White
1143,African American
1144,White
1145,African American
1146,White
1147,White
1148,White
1149,African American
1150,White
1151,White
1152,African American
1153,White
1154,White
1155,African American
1156,Mexican
1157,African American
1158,White
1159,African American
1160,White
1161,Mexican
1162,Mexican
1163,White
1164,White
1165,Mexican
1166,African American
1167,African American
1168,African American
1169,White
1170,White
1171,African American
1172,Mexican
1173,White
1174,White
1175,w
1176,White
1177,White
1178,White
1179,White
1180,Mexican
1181,Mexican
1182,White
1183,White
1184,White
1185,White
1186,White
1187,White
1188,White
1189,African American
1190,African American
1191,African American
1192,White
1193,White
1194,African American
1195,African American
1196,White
1197,White
1198,White
1199,African American
1200,White
1201,White
1202,White
1203,African American
1204,African American
1205,Mexican
1206,Mexican
1207,White
1208,African American
1209,African American
1210,Mexican
1211,White
1212,African American
1213,African American
1214,African American
1215,African American
1216,African American
1217,White
1218,White
1219,White
1220,White
1221,African American
1222,White
1223,African American
1224,White
1225,African American
1226,White
1227,White
1228,White
1229,African American
1230,White
1231,African American
1232,White
1233,African American
1234,White
1235,African American
1236,African American
1237,White
1238,African American
1239,African American
1240,African American
1241,African American
1242,African American
1243,White
1244,White
1245,African American
1246,African American
1247,African American
1248,African American
1249,White
1250,African American
1251,African American
1252,African American
1253,White
1254,White
1255,African American
1256,Mexican
1257,African American
1258,African American
1259,African American
1260,African American
1261,White
1262,African American
1263,White
1264,African American
1265,White
1266,Mexican
1267,African American
1268,African American
1269,White
1270,African American
1271,African American
1272,White
1273,African American
1274,African American
1275,White
1276,White
1277,African American
1278,White
1279,White
1280,African American
1281,African American
1282,African American
1283,White
1284,White
1285,African American
1286,African American
1287,African American
1288,White
1289,White
1290,White
1291,Mexican
1292,White
1293,African American
1294,White
1295,African American
1296,White
1297,Mexican
1298,White
1299,White
1300,White
1301,African American
1302,White
1303,White
1304,White
1305,African American
1306,White
1307,White
1308,White
1309,White
1310,White
1311,African American
1312,African American
1313,African American
1314,White
1315,White
1316,White
1317,African American
1318,White
1319,African American
1320,African American
1321,African American
1322,White
1323,White
1324,African American
1325,Mexican
1326,White
1327,African American
1328,White
1329,White
1330,African American
1331,White
1332,White
1333,African American
1334,White
1335,African American
1336,White
1337,White
1338,African American
1339,White
1340,White
1341,White
1342,White
1343,w
1344,African American
1345,White
1346,White
1347,African American
1348,Mexican
1349,White
1350,Mexican
1351,White
1352,White
1353,White
1354,White
1355,White
1356,African American
1357,African American
1358,White
1359,African American
1360,African American
1361,African American
1362,African American
1363,White
1364,African American
1365,White
1366,White
1367,African American
1368,African American
1369,White
1370,African American
1371,White
1372,White
1373,White
1374,White
1375,African American
1376,White
1377,White
1378,White
1379,African American
1380,White
1381,White
1382,African American
1383,White
1384,White
1385,White
1386,African American
1387,White
1388,White
1389,White
1390,Mexican
1391,Mexican
1392,White
1393,White
1394,White
1395,Mexican
1396,White
1397,African American
1398,African American
1399,White
1400,African American
1401,White
1402,White
1403,African American
1404,African American
1405,White
1406,African American
1407,White
1408,White
1409,Mexican
1410,White
1411,African American
1412,African American
1413,White
1414,African American
1415,White
1416,White
1417,White
1418,White
1419,White
1420,White
1421,African American
1422,African American
1423,White
1424,White
1425,African American
1426,White
1427,African American
1428,African American
1429,Mexican
1430,White
1431,w
1432,White
1433,White
1434,Mexican
1435,Mexican
1436,African American
1437,Mexican
1438,White
1439,African American
1440,African American
1441,White
1442,White
1443,African American
1444,African American
1445,White
1446,White
1447,African American
1448,Mexican
1449,Mexican
1450,African American
1451,African American
1452,Mexican
1453,White
1454,White
1455,White
1456,White
1457,White
1458,White
1459,African American
1460,White
1461,White
1462,African American
1463,White
1464,Mexican
1465,White
1466,African American
1467,African American
1468,White
1469,Mexican
1470,White
1471,White
1472,White
1473,White
1474,Mexican
1475,White
1476,Mexican
1477,White
1478,White
1479,African American
1480,African American
1481,White
1482,White
1483,White
1484,Mexican
1485,
1486,African American
1487,White
1488,African American
1489,White
1490,African American
1491,African American
1492,White
1493,African American
1494,African American
1495,White
1496,African American
1497,White
1498,White
1499,African American
1500,White
1501,African American
1502,African American
1503,African American
1504,African American
1505,African American
1506,African American
1507,White
1508,White
1509,African American
1510,White
1511,White
1512,White
1513,White
1514,African American
1515,White
1516,Mexican
1517,African American
1518,African American
1519,African American
1520,White
1521,White
1522,White
1523,White
1524,African American
1525,White
1526,White
1527,African American
1528,White
1529,White
1530,White
1531,White
1532,White
1533,White
1534,African American
1535,African American
1536,African American
1537,African American
1538,White
1539,African American
1540,Mexican
1541,African American
1542,White
1543,White
1544,White
1545,White
1546,African American
1547,White
1548,White
1549,White
1550,White
1551,White
1552,White
1553,White
1554,White
1555,African American
1556,White
1557,White
1558,White
1559,White
1560,White
1561,White
1562,African American
1563,White
1564,African American
1565,White
1566,African American
1567,Mexican
1568,African American
1569,White
1570,White
1571,White
1572,White
1573,African American
1574,White
1575,African American
1576,White
1577,Mexican
1578,White
1579,White
1580,African American
1581,African American
1582,Mexican
1583,African American
1584,African American
1585,African American
1586,White
1587,Mexican
1588,African American
1589,African American
1590,White
1591,White
1592,African American
1593,White
1594,White
1595,White
1596,White
1597,White
1598,White
1599,White
1600,African American
1601,White
1602,African American
1603,White
1604,White
1605,White
1606,White
1607,White
1608,White
1609,White
1610,White
1611,African American
1612,White
1613,White
1614,White
1615,African American
1616,White
1617,White
1618,African American
1619,African American
1620,White
1621,African American
1622,African American
1623,Mexican
1624,White
1625,White
1626,White
1627,White
1628,White
1629,White
1630,White
1631,Mexican
1632,White
1633,White
1634,White
1635,White
1636,White
1637,White
1638,African American
1639,White
1640,Mexican
1641,White
1642,White
1643,White
1644,White
1645,White
1646,White
1647,White
1648,White
1649,White
1650,White
1651,African American
1652,African American
1653,White
1654,Mexican
1655,White
1656,White
1657,White
1658,White
1659,African American
1660,White
1661,Mexican
1662,White
1663,White
1664,African American
1665,White
1666,White
1667,African American
1668,White
1669,Mexican
1670,African American
1671,African American
1672,African American
1673,White
1674,African American
1675,White
1676,White
1677,African American
1678,African American
1679,African American
1680,African American
1681,White
1682,White
1683,Mexican
1684,White
1685,Mexican
1686,White
1687,African American
1688,African American
1689,Mexican
1690,Mexican
1691,Mexican
1692,White
1693,White
1694,White
1695,White
1696,African American
1697,Mexican
1698,White
1699,African American
1700,African American
1701,White
1702,White
1703,African American
1704,White
1705,White
1706,White
1707,White
1708,African American
1709,African American
1710,White
1711,African American
1712,White
1713,White
1714,African American
1715,African American
1716,African American
1717,White
1718,White
1719,White
1720,White
1721,White
1722,White
1723,Mexican
1724,White
1725,White
1726,African American
1727,African American
1728,African American
1729,White
1730,African American
1731,White
1732,White
1733,White
1734,White
1735,African American
1736,White
1737,White
1738,White
1739,White
1740,White
1741,African American
1742,White
1743,African American
1744,African American
1745,White
1746,White
1747,African American
1748,White
1749,Mexican
1750,White
1751,White
1752,White
1753,White
1754,African American
1755,White
1756,African American
1757,African American
1758,White
1759,White
1760,White
1761,White
1762,African American
1763,White
1764,African American
1765,African American
1766,White
1767,African American
1768,African American
1769,White
1770,White
1771,White
1772,White
1773,African American
1774,African American
1775,African American
1776,White
1777,African American
1778,White
1779,White
1780,African American
1781,African American
1782,White
1783,African American
1784,White
1785,African American
1786,African American
1787,White
1788,White
1789,White
1790,White
1791,African American
1792,White
1793,White
1794,White
1795,African American
1796,African American
1797,White
1798,White
1799,White
1800,African American
1801,White
1802,White
1803,White
1804,White
1805,African American
1806,African American
1807,White
1808,White
1809,African American
1810,African American
1811,White
1812,African American
1813,African American
1814,White
1815,White
1816,White
1817,African American
1818,White
1819,White
1820,African American
1821,African American
1822,White
1823,White
1824,Mexican
1825,White
1826,Mexican
1827,White
1828,White
1829,White
1830,African American
1831,White
1832,White
1833,African American
1834,White
1835,White
1836,
1837,African American
1838,White
1839,White
1840,White
1841,African American
1842,White
1843,African American
1844,White
1845,White
1846,African American
1847,White
1848,White
1849,African American
1850,Mexican
1851,African American
1852,African American
1853,White
1854,White
1855,White
1856,White
1857,African American
1858,White
1859,African American
1860,African American
1861,White
1862,White
1863,White
1864,African American
1865,White
1866,White
1867,African American
1868,African American
1869,White
1870,White
1871,African American
1872,African American
1873,African American
1874,White
1875,White
1876,White
1877,White
1878,White
1879,African American
1880,White
1881,African American
1882,African American
1883,White
1884,White
1885,African American
1886,White
1887,African American
1888,White
1889,African American
1890,Mexican
1891,White
1892,African American
1893,African American
1894,White
1895,White
1896,African American
1897,African American
1898,White
1899,White
1900,White
1901,Mexican
1902,White
1903,White
1904,African American
1905,White
1906,White
1907,White
1908,African American
1909,African American
1910,African American
1911,African American
1912,African American
1913,African American
1914,White
1915,White
1916,White
1917,White
1918,African American
1919,African American
1920,White
1921,African American
1922,Mexican
1923,White
1924,White
1925,African American
1926,African American
1927,White
1928,African American
1929,White
1930,White
1931,White
1932,African American
1933,White
1934,White
1935,African American
1936,African American
1937,African American
1938,African American
1939,African American
1940,African American
1941,White
1942,White
1943,White
1944,White
1945,White
1946,White
1947,African American
1948,White
1949,African American
1950,White
1951,White
1952,White
1953,Mexican
1954,White
1955,African American
1956,African American
1957,White
1958,Mexican
1959,White
1960,African American
1961,African American
1962,African American
1963,White
1964,White
1965,White
1966,White
1967,African American
1968,White
1969,White
1970,White
1971,African American
1972,African American
1973,White
1974,White
1976,White
1977,White
1978,White
1979,African American
1980,White
1981,White
1982,African American
1983,African American
1984,White
1985,White
1986,White
1987,African American
1988,White
1989,African American
1990,African American
1991,White
1992,African American
1993,White
1994,White
1995,White
1996,African American
1997,White
1998,Mexican
1999,African American
2000,White
2001,African American
2002,African American
2003,African American
2004,White
2005,White
2006,White
2007,Mexican
2008,White
2009,African American
2010,White
2011,White
2012,White
2013,White
2014,African American
2015,African American
2016,African American
2017,White
2018,White
2019,White
2020,White
2021,African American
2022,African American
2023,African American
2024,White
2025,Mexican
2026,African American
2027,Mexican
2028,African American
2029,White
2030,Mexican
2031,White
2032,African American
2033,White
2034,African American
2035,White
2036,White
2037,White
2038,White
2039,African American
2040,African American
2041,African American
2042,White
2043,White
2044,African American
2045,African American
2046,African American
2047,White
2048,African American
2049,African American
2050,White
2051,African American
2052,White
2053,White
2054,White
2055,White
2056,White
2057,African American
2058,White
2059,White
2060,African American
2061,African American
2062,White
2063,African American
2064,White
2065,White
2066,African American
2067,White
2068,White
2069,White
2070,African American
2071,White
2072,White
2073,African American
2074,White
2075,White
2076,White
2077,White
2078,African American
2079,Mexican
2080,African American
2081,African American
2082,White
2083,African American
2084,White
2085,White
2086,White
2087,Mexican
2088,Mexican
2089,White
2090,African American
2091,White
2092,African American
2093,African American
2094,White
2095,White
2096,African American
2097,White
2098,White
2099,White
2100,African American
2101,White
2102,White
2103,African American
2104,White
2105,White
2106,White
2107,White
2108,African American
2109,White
2110,White
2111,White
2112,Mexican
2113,White
2114,Mexican
2115,White
2116,White
2117,White
2118,White
2119,African American
2120,African American
2121,White
2122,White
2123,Mexican
2124,African American
2125,White
2126,African American
2127,African American
2128,African American
2129,White
2130,African American
2131,Mexican
2132,White
2133,w
2134,White
2135,White
2136,White
2137,African American
2138,African American
2139,White
2140,African American
2141,White
2142,African American
2143,White
2144,White
2145,African American
2146,White
2147,African American
2148,African American
2149,African American
2150,White
2151,African American
2152,White
2153,White
2154,White
2155,White
2156,White
2157,White
2158,White
2159,Mexican
2160,White
2161,African American
2162,White
2163,White
2164,White
2165,White
2166,White
2167,African American
2168,White
2169,White
2170,White
2171,White
2172,African American
2173,African American
2174,African American
2175,African American
2176,African American
2177,White
2178,African American
2179,White
2180,Mexican
2181,White
2182,White
2183,African American
2184,White
2185,White
2186,White
2187,White
2188,Mexican
2189,White
2190,White
2191,White
2192,African American
2193,White
2194,White
2195,White
2196,Mexican
2197,White
2198,White
2199,African American
2200,African American
2201,White
2202,African American
2203,African American
2204,African American
2205,African American
2206,African American
2207,African American
2208,White
2209,African American
2210,White
2211,African American
2212,African American
2213,African American
2214,White
2215,White
2216,White
2217,African American
2218,African American
2219,African American
2220,White
2221,African American
2222,African American
2223,White
2224,African American
2225,White
2226,White
2227,White
2228,White
2229,White
2230,White
2231,African American
2232,White
2233,African American
2234,White
2235,White
2236,White
2237,White
2238,African American
2239,White
2240,African American
2241,African American
2242,African American
2243,White
2244,African American
2245,White
2246,White
2247,White
2248,African American
2249,African American
2250,African American
2251,African American
2252,White
2253,White
2254,White
2255,White
2256,White
2257,White
2258,White
2259,Mexican
2260,African American
2261,African American
2262,White
2263,African American
2264,African American
2265,White
2266,White
2267,White
2268,African American
2269,Mexican
2270,White
2271,White
2272,White
2273,African American
2274,White
2275,White
2276,African American
2277,African American
2278,White
2279,White
2280,Mexican
2281,African American
2282,White
2283,White
2284,African American
2285,African American
2286,African American
2287,White
2288,African American
2289,White
2290,White
2291,White
2292,White
2293,African American
2294,African American
2295,White
2296,African American
2297,White
2298,African American
2299,White
2300,African American
2301,White
2302,African American
2303,White
2304,White
2305,White
2306,White
2307,White
2308,White
2309,African American
2310,White
2311,African American
2312,White
2313,White
2314,African American
2315,African American
2316,White
2317,White
2318,African American
2319,White
2320,Mexican
2321,White
2322,African American
2323,African American
2324,African American
2325,African American
2326,White
2327,African American
2328,White
2329,White
2330,White
2331,African American
2332,White
2333,White
2334,White
2335,African American
2336,African American
2337,White
2338,White
2339,African American
2340,African American
2341,White
2342,African American
2343,White
2344,White
2345,African American
2346,White
2347,African American
2348,African American
2349,African American
2350,White
2351,African American
2352,White
2353,White
2354,African American
2355,African American
2356,White
2357,White
2358,White
2359,African American
2360,White
2361,African American
2362,African American
2363,White
2364,African American
2365,African American
2366,White
2367,White
2368,White
2369,African American
2370,White
2371,African American
2372,White
2373,African American
2374,White
2375,White
2376,White
2377,African American
2378,White
2379,White
2380,White
2381,African American
2382,White
2383,African American
2384,Mexican
2385,White
2386,White
2387,White
2388,White
2389,African American
2390,African American
2391,African American
2392,African American
2393,African American
2394,African American
2395,White
2396,White
2397,African American
2398,African American
2399,White
2400,White
2401,White
2402,African American
2403,African American
2404,White
2405,African American
2406,African American
2407,African American
2408,African American
2409,White
2410,African American
2411,Mexican
2412,White
2413,African American
2414,White
2415,African American
2416,White
2417,White
2418,White
2419,White
2420,African American
2421,African American
2422,African American
2423,White
2424,White
2425,White
2426,African American
2427,White
2428,African American
2429,Mexican
2430,African American
2431,White
2432,White
2433,White
2434,White
2435,White
2436,White
2437,White
2438,White
2439,White
2440,African American
2441,White
2442,Mexican
2443,African American
2444,African American
2445,White
2446,White
2447,White
2448,African American
2449,African American
2450,African American
2451,White
2452,African American
2453,White
2454,White
2455,White
2456,African American
2457,White
2458,White
2459,African American
2460,African American
2461,White
2462,African American
2463,White
2464,White
2465,White
2466,African American
2467,White
2468,White
2469,White
2470,African American
2471,Mexican
2472,African American
2473,White
2474,White
2475,African American
2476,White
2477,White
2478,White
2479,White
2480,White
2481,White
2482,African American
2483,White
2484,White
2485,White
2486,Mexican
2487,White
2488,White
2489,African American
2490,White
2491,White
2492,White
2493,White
2494,White
2495,White
2496,Mexican
2497,African American
2498,White
2499,White
2500,African American
2501,White
2502,African American
2503,African American
2504,White
2505,African American
2506,African American
2507,White
2508,White
2509,White
2510,African American
2511,Mexican
2512,White
2513,White
2514,White
2515,White
2516,African American
2517,White
2518,White
2519,White
2520,White
2521,African American
2522,White
2523,White
2524,White
2525,White
2526,White
2527,African American
2528,African American
2529,White
2530,African American
2531,Mexican
2532,African American
2533,African American
2534,White
2535,White
2536,African American
2537,African American
2538,White
2539,African American
2540,White
2541,Mexican
2542,White
2543,White
2544,White
2545,African American
2546,White
2547,African American
2548,African American
2549,White
2550,African American
2551,White
2552,Mexican
2553,White
2554,White
2555,African American
2556,White
2557,White
2558,African American
2559,White
2560,White
2561,White
2562,African American
2563,White
2564,White
2565,White
2566,White
2567,White
2568,White
2569,White
2570,African American
2571,White
2572,White
2573,White
2574,White
2575,White
2576,White
2577,White
2578,White
2579,African American
2580,White
2581,African American
2582,White
2583,White
2584,White
2585,African American
2586,African American
2587,White
2588,African American
2589,White
2590,White
2591,White
2592,White
2593,White
2594,African American
2595,White
2596,White
2597,African American
2598,African American
2599,African American
2600,African American
2601,White
2602,White
2603,African American
2604,African American
2605,African American
2606,White
2607,African American
2608,White
2609,White
2610,White
2611,White
2612,White
2613,African American
2614,White
2615,White
2616,African American
2617,White
2618,White
2619,African American
2620,White
2621,White
2622,African American
2623,African American
2624,White
2625,White
2626,White
2627,White
2628,White
2629,White
2630,White
2631,White
2632,White
2633,African American
2634,White
2635,White
2636,White
2637,White
2638,African American
2639,African American
2640,White
2641,White
2642,White
2643,White
2644,White
2645,African American
2646,White
2647,African American
2648,African American
2649,African American
2650,African American
2651,White
2652,White
2653,White
2654,White
2655,African American
2656,White
2657,African American
2658,White
2659,African American
2660,African American
2661,White
2662,White
2663,White
2664,White
2665,White
2666,White
2667,White
2668,African American
2669,White
2670,White
2671,African American
2672,African American
2673,White
2674,African American
2675,African American
2677,Mexican
2678,White
2679,African American
2680,African American
2681,White
2682,White
2683,White
2684,African American
2685,African American
2686,White
2687,White
2688,White
2689,White
2690,African American
2691,African American
2692,African American
2693,African American
2694,African American
2695,White
2696,African American
2697,White
2698,African American
2699,White
2700,White
2701,White
2702,White
2703,White
2704,White
2705,White
2706,African American
2707,African American
2708,White
